teamName,conferenceName,divisionName,totalWins,totalLosses,totalTies,gamesPlayed,winPct,tODiff,offTotalYds,offPassYds,offRushYds,defTotalYds,defPassYds,defRushYds,teamOvr,capRoom,capAvailable,capSpent,rank,seed,playoffStatus,winLossStreak
Cowboys,NFC,NFC East,6,0,0,6,1,12,2456,1942,514,1991,1455,536,84,301200000,23920000,277280000,1,1,1,6
Steelers,AFC,AFC North,6,0,0,6,1,14,1866,1280,586,1628,1198,430,83,301200000,10660000,290540000,2,1,1,6
Bills,AFC,AFC East,6,0,0,6,1,6,2243,1243,1000,1687,1294,393,85,301200000,11310000,289890000,3,2,1,6
Packers,NFC,NFC North,5,1,0,6,0.833,-2,2436,1737,699,1970,1479,491,82,301200000,25480000,275720000,4,2,1,255
Ravens,AFC,AFC North,5,1,0,6,0.833,11,2208,1494,714,1612,1263,349,86,301200000,14910000,286290000,5,5,1,3
Eagles,NFC,NFC East,5,1,0,6,0.833,6,2024,1209,815,1604,1249,355,87,301200000,18350000,282850000,6,5,1,5
Chiefs,AFC,AFC West,4,1,0,5,0.8,-3,1950,1290,660,1341,921,420,84,301200000,3370000,297830000,7,3,1,2
Bengals,AFC,AFC North,4,1,0,5,0.8,-1,2014,1603,411,1789,1427,362,82,301200000,27030000,274170000,8,6,1,2
Commanders,NFC,NFC East,4,2,0,6,0.667,4,2080,1420,660,2160,1691,469,84,301200000,11500000,289700000,9,6,1,255
Rams,NFC,NFC West,4,2,0,6,0.667,4,2413,1692,721,2173,1629,544,86,301200000,8290000,292910000,10,3,1,1
Dolphins,AFC,AFC East,3,2,0,5,0.6,3,1840,1153,687,1729,1373,356,78,301200000,11000000,290200000,11,7,1,255
Jaguars,AFC,AFC South,3,3,0,6,0.5,-6,2720,2051,669,2077,1336,741,81,301200000,5860000,295340000,12,4,1,1
Bears,NFC,NFC North,3,3,0,6,0.5,3,2096,1562,534,2043,1502,541,85,301200000,4130000,297070000,13,7,1,1
Panthers,NFC,NFC South,2,3,0,5,0.4,-1,1552,1159,393,2051,1306,745,83,301200000,9980000,291220000,14,4,1,254
Raiders,AFC,AFC West,3,3,0,6,0.5,4,1823,1276,547,1888,1224,664,81,301200000,4770000,296430000,15,8,0,253
Broncos,AFC,AFC West,3,3,0,6,0.5,0,2283,1675,608,2402,1562,840,86,301200000,29320000,271880000,16,9,0,3
Patriots,AFC,AFC East,3,3,0,6,0.5,1,1792,1063,729,1605,926,679,84,301200000,35900000,265300000,17,10,0,255
Lions,NFC,NFC North,2,3,0,5,0.4,-4,2053,1539,514,1771,1205,566,87,301200000,12660000,288540000,18,8,0,255
Texans,AFC,AFC South,2,4,0,6,0.333,9,1718,1122,596,2102,1452,650,85,301200000,4294467296,301700000,19,11,0,255
Falcons,NFC,NFC South,2,4,0,6,0.333,-10,1946,1292,654,2080,1584,496,85,301200000,29220000,271980000,20,11,0,254
Giants,NFC,NFC East,2,4,0,6,0.333,-4,2619,1723,896,2056,1481,575,82,301200000,400000,300800000,21,9,0,1
Titans,AFC,AFC South,2,4,0,6,0.333,-1,1737,1161,576,1886,1176,710,80,301200000,47240000,253960000,22,12,0,253
Seahawks,NFC,NFC West,2,4,0,6,0.333,3,2109,1679,430,2330,1730,600,83,301200000,19020000,282180000,23,13,0,255
Cardinals,NFC,NFC West,2,4,0,6,0.333,-1,2279,1650,629,2188,1648,540,82,301200000,36630000,264570000,24,10,0,255
49ers,NFC,NFC West,2,4,0,6,0.333,-5,2072,1832,240,2417,1674,743,85,301200000,62830000,238370000,25,12,0,1
Jets,AFC,AFC East,2,4,0,6,0.333,4,1595,1248,347,2412,1754,658,79,301200000,5650000,295550000,26,13,0,1
Vikings,NFC,NFC North,1,4,0,5,0.2,1,1679,1182,497,1884,1219,665,82,301200000,13690000,287510000,27,14,0,254
Browns,AFC,AFC North,1,5,0,6,0.167,-1,2015,1412,603,2283,1632,651,81,301200000,10510000,290690000,28,14,0,255
Saints,NFC,NFC South,1,5,0,6,0.167,-8,1955,1361,594,2356,1543,813,81,301200000,500000,300700000,29,15,0,255
Chargers,AFC,AFC West,1,5,0,6,0.167,-2,1699,1227,472,2622,1740,882,81,301200000,32070000,269130000,30,15,0,254
Colts,AFC,AFC South,1,5,0,6,0.167,-8,1774,1159,615,2120,1211,909,86,301200000,7940000,293260000,31,16,0,1
Buccaneers,NFC,NFC South,1,5,0,6,0.167,-5,1755,1257,498,2544,1809,735,81,301200000,44800000,256400000,32,16,0,252
