contenderRank,teamName,contenderScore,totalWins,totalLosses,rank,rankGap,trend
1,Ravens,13.176470588235293,5,1,5,4,TRENDING UP
2,Cowboys,12.558823529411764,6,0,1,-1,steady
3,Steelers,11.666666666666668,6,0,2,-1,steady
4,Bills,9.450980392156863,6,0,3,-1,steady
5,Eagles,8.117647058823529,5,1,6,1,steady
6,Rams,5.019607843137255,4,2,10,4,TRENDING UP
7,Chiefs,4.76470588235294,4,1,7,0,steady
8,Dolphins,3.7058823529411766,3,2,11,3,TRENDING UP
9,Packers,3.2352941176470598,5,1,4,-5,TRENDING DOWN
10,Giants,2.8529411764705883,2,4,21,11,TRENDING UP
11,Bears,2.519607843137255,3,3,13,2,steady
12,Patriots,2.5,3,3,17,5,TRENDING UP
13,Jaguars,2.3039215686274517,3,3,12,-1,steady
14,Texans,2.235294117647059,2,4,19,5,TRENDING UP
15,Raiders,2.0294117647058822,3,3,15,0,steady
16,Commanders,1.8823529411764706,4,2,9,-7,TRENDING DOWN
17,Bengals,1.8470588235294116,4,1,8,-9,TRENDING DOWN
18,Cardinals,0.22549019607843135,2,4,24,6,TRENDING UP
19,Lions,0.117647058823529,2,3,18,-1,steady
20,Seahawks,-0.16666666666666696,2,4,23,3,TRENDING UP
21,Broncos,-1.1666666666666665,3,3,16,-5,TRENDING DOWN
22,Vikings,-1.6117647058823528,1,4,27,5,TRENDING UP
23,Titans,-2.127450980392157,2,4,22,-1,steady
24,Browns,-3.2941176470588234,1,5,28,4,TRENDING UP
25,Jets,-5.343137254901961,2,4,26,1,steady
26,Panthers,-6.670588235294117,2,3,14,-12,TRENDING DOWN
27,49ers,-6.715686274509804,2,4,25,-2,steady
28,Falcons,-7.980392156862745,2,4,20,-8,TRENDING DOWN
29,Colts,-8.72549019607843,1,5,31,2,steady
30,Saints,-9.26470588235294,1,5,29,-1,steady
31,Chargers,-10.382352941176471,1,5,30,-1,steady
32,Buccaneers,-11.068627450980392,1,5,32,0,steady
